"year_month","product_category_en","price_bucket","order_count","total_revenue","avg_price","updated_at"
"2017-03","drinks","B. 50-150",1,90,90,"2026-05-28 10:53:44"
"2017-03","drinks","C. 150-500",2,343.89,171.945,"2026-05-28 10:53:44"
"2017-03","dvds_blu_ray","A. 0-50",3,44.7,14.9,"2026-05-28 10:53:44"
"2017-03","dvds_blu_ray","C. 150-500",1,409,409,"2026-05-28 10:53:44"
"2017-03","electronics","A. 0-50",20,688.63,34.4315,"2026-05-28 10:53:44"
"2017-03","electronics","B. 50-150",8,680.59,85.07375,"2026-05-28 10:53:44"
"2017-03","electronics","C. 150-500",9,2616.7799999999997,290.75333333333333,"2026-05-28 10:53:44"
"2017-03","fashio_female_clothing","A. 0-50",1,19.9,19.9,"2026-05-28 10:53:44"
"2017-03","fashion_bags_accessories","A. 0-50",37,1314.29,35.52135135135135,"2026-05-28 10:53:44"
"2017-03","fashion_bags_accessories","B. 50-150",25,2086.9700000000003,83.4788,"2026-05-28 10:53:44"
"2017-03","fashion_bags_accessories","C. 150-500",6,1459.9,243.3166666666667,"2026-05-28 10:53:44"
"2017-03","fashion_male_clothing","A. 0-50",5,146.2,29.24,"2026-05-28 10:53:44"
"2017-03","fashion_male_clothing","B. 50-150",3,234.70000000000002,78.23333333333333,"2026-05-28 10:53:44"
"2017-03","fashion_male_clothing","C. 150-500",1,199.9,199.9,"2026-05-28 10:53:44"
"2017-03","fashion_shoes","A. 0-50",7,230.29999999999998,32.9,"2026-05-28 10:53:44"
"2017-03","fashion_shoes","B. 50-150",1,74.9,74.9,"2026-05-28 10:53:44"
"2017-03","fashion_shoes","C. 150-500",6,1209.8,201.63333333333333,"2026-05-28 10:53:44"
"2017-03","fashion_sport","A. 0-50",1,39.9,39.9,"2026-05-28 10:53:44"
"2017-03","fashion_underwear_beach","A. 0-50",2,30.89,15.445,"2026-05-28 10:53:44"
"2017-03","fashion_underwear_beach","B. 50-150",3,189.25,63.083333333333336,"2026-05-28 10:53:44"
"2017-03","fashion_underwear_beach","C. 150-500",1,174,174,"2026-05-28 10:53:44"
"2017-03","fixed_telephony","A. 0-50",12,385.61,32.134166666666665,"2026-05-28 10:53:44"
"2017-03","fixed_telephony","B. 50-150",8,947.84,118.48,"2026-05-28 10:53:44"
"2017-03","food","A. 0-50",5,106.78999999999999,21.357999999999997,"2026-05-28 10:53:44"
"2017-03","food","B. 50-150",10,1239.77,123.977,"2026-05-28 10:53:44"
"2017-03","food","C. 150-500",7,1216,173.71428571428572,"2026-05-28 10:53:44"
"2017-03","food_drink","A. 0-50",4,85.8,21.45,"2026-05-28 10:53:44"
"2017-03","furniture_decor","A. 0-50",177,6145.0599999999995,34.71785310734463,"2026-05-28 10:53:44"
"2017-03","furniture_decor","B. 50-150",120,10897.82,90.81516666666667,"2026-05-28 10:53:44"
"2017-03","furniture_decor","C. 150-500",23,4896.68,212.89913043478262,"2026-05-28 10:53:44"
"2017-03","furniture_decor","D. 500+",1,520.2,520.2,"2026-05-28 10:53:44"
"2017-03","furniture_living_room","B. 50-150",19,2025.13,106.58578947368422,"2026-05-28 10:53:44"
"2017-03","furniture_living_room","C. 150-500",5,1298.87,259.774,"2026-05-28 10:53:44"
"2017-03","garden_tools","A. 0-50",66,2137.88,32.39212121212121,"2026-05-28 10:53:44"
"2017-03","garden_tools","B. 50-150",60,5463,91.05,"2026-05-28 10:53:44"
"2017-03","garden_tools","C. 150-500",11,3050.88,277.3527272727273,"2026-05-28 10:53:44"
"2017-03","garden_tools","D. 500+",11,12950.9,1177.3545454545454,"2026-05-28 10:53:44"
"2017-03","health_beauty","A. 0-50",73,2126.63,29.13191780821918,"2026-05-28 10:53:44"
"2017-03","health_beauty","B. 50-150",89,7763.94,87.2352808988764,"2026-05-28 10:53:44"
"2017-03","health_beauty","C. 150-500",39,10162.09,260.5664102564103,"2026-05-28 10:53:44"
"2017-03","health_beauty","D. 500+",9,5874.69,652.7433333333333,"2026-05-28 10:53:44"
"2017-03","home_appliances","A. 0-50",10,313.3,31.330000000000002,"2026-05-28 10:53:44"
"2017-03","home_appliances_2","A. 0-50",1,13.9,13.9,"2026-05-28 10:53:44"
"2017-03","home_appliances_2","C. 150-500",1,487,487,"2026-05-28 10:53:44"
"2017-03","home_comfort_2","A. 0-50",1,12.9,12.9,"2026-05-28 10:53:44"
"2017-03","home_comfort_2","B. 50-150",1,109.99,109.99,"2026-05-28 10:53:44"
"2017-03","home_comfort_2","C. 150-500",1,219.99,219.99,"2026-05-28 10:53:44"
"2017-03","home_confort","A. 0-50",2,49.9,24.95,"2026-05-28 10:53:44"
"2017-03","home_confort","B. 50-150",5,449.5,89.9,"2026-05-28 10:53:44"
